cancer_type,normalization,batch_num,status,start_time,end_time,duration_seconds,error_message
SKCM,raw,1,success,2026-01-21T19:03:54.779389,2026-01-21T19:04:13.616009,18.83662,
SKCM,raw,2,success,2026-01-21T19:04:13.617032,2026-01-21T19:04:32.323455,18.706423,
SKCM,raw,3,success,2026-01-21T19:04:32.324665,2026-01-21T19:04:51.237626,18.912961,
SKCM,raw,4,success,2026-01-21T19:04:51.239075,2026-01-21T19:05:10.708266,19.469191,
SKCM,raw,5,success,2026-01-21T19:05:10.709423,2026-01-21T19:05:30.208712,19.499289,
SKCM,raw,6,success,2026-01-21T19:05:30.209825,2026-01-21T19:05:50.022785,19.81296,
SKCM,raw,7,success,2026-01-21T19:05:50.023843,2026-01-21T19:06:09.046814,19.022971,
SKCM,raw,8,success,2026-01-21T19:06:09.048007,2026-01-21T19:06:28.933946,19.885939,
SKCM,raw,9,success,2026-01-21T19:06:28.935273,2026-01-21T19:06:48.510273,19.575,
SKCM,raw,10,success,2026-01-21T19:06:48.511291,2026-01-21T19:07:07.973561,19.46227,
SKCM,raw,11,success,2026-01-21T19:07:07.974574,2026-01-21T19:07:27.731800,19.757226,
SKCM,raw,12,success,2026-01-21T19:07:27.732851,2026-01-21T19:07:46.483931,18.75108,
SKCM,raw,13,success,2026-01-21T19:07:46.485066,2026-01-21T19:08:05.305839,18.820773,
SKCM,raw,14,success,2026-01-21T19:08:05.306893,2026-01-21T19:08:24.087907,18.781014,
SKCM,raw,15,success,2026-01-21T19:08:24.088944,2026-01-21T19:08:43.340786,19.251842,
SKCM,raw,16,success,2026-01-21T19:08:43.341824,2026-01-21T19:09:01.999975,18.658151,
SKCM,raw,17,success,2026-01-21T19:09:02.001068,2026-01-21T19:09:20.791789,18.790721,
SKCM,raw,18,success,2026-01-21T19:09:20.792806,2026-01-21T19:09:39.628760,18.835954,
SKCM,raw,19,success,2026-01-21T19:09:39.629853,2026-01-21T19:09:58.297114,18.667261,
SKCM,raw,20,success,2026-01-21T19:09:58.298170,2026-01-21T19:10:16.932694,18.634524,
SKCM,TC,1,success,2026-01-21T19:10:16.933732,2026-01-21T19:10:35.878649,18.944917,
SKCM,TC,2,success,2026-01-21T19:10:35.879742,2026-01-21T19:10:54.870007,18.990265,
SKCM,TC,3,success,2026-01-21T19:10:54.871085,2026-01-21T19:11:13.847347,18.976262,
SKCM,TC,4,success,2026-01-21T19:11:13.848446,2026-01-21T19:11:32.838691,18.990245,
SKCM,TC,5,success,2026-01-21T19:11:32.839773,2026-01-21T19:11:51.889807,19.050034,
SKCM,TC,6,success,2026-01-21T19:11:51.890877,2026-01-21T19:12:10.926599,19.035722,
SKCM,TC,7,success,2026-01-21T19:12:10.927656,2026-01-21T19:12:29.986959,19.059303,
SKCM,TC,8,success,2026-01-21T19:12:29.988030,2026-01-21T19:12:49.130834,19.142804,
SKCM,TC,9,success,2026-01-21T19:12:49.132086,2026-01-21T19:13:08.153093,19.021007,
SKCM,TC,10,success,2026-01-21T19:13:08.154164,2026-01-21T19:13:12.787598,4.633434,
SKCM,TC,11,success,2026-01-21T19:13:12.788759,2026-01-21T19:13:31.896879,19.10812,
SKCM,TC,12,success,2026-01-21T19:13:31.898096,2026-01-21T19:13:50.997519,19.099423,
SKCM,TC,13,success,2026-01-21T19:13:50.998647,2026-01-21T19:14:09.881237,18.88259,
SKCM,TC,14,success,2026-01-21T19:14:09.882301,2026-01-21T19:14:28.761101,18.8788,
SKCM,TC,15,success,2026-01-21T19:14:28.762347,2026-01-21T19:14:48.013105,19.250758,
